Time (s),Value 1,Value 2,Value 3,Value 4
17.523662328720093,1.79,9.69,15.00,72.20
17.539661169052124,1.79,9.69,15.00,72.73
17.55566120147705,1.79,9.69,15.00,72.73
17.570661544799805,1.79,9.69,15.00,72.73
17.585660934448242,1.79,9.69,15.00,72.73
17.600664854049683,1.79,9.69,15.00,72.73
17.616661071777344,1.79,9.69,15.00,72.73
17.633662700653076,1.79,9.69,15.00,72.73
17.64866304397583,1.79,9.69,15.00,72.73
17.66532325744629,1.79,9.69,15.00,72.73
17.681194305419922,1.79,9.69,15.00,73.26
17.695823669433594,1.79,9.69,15.00,73.26
17.71182155609131,1.79,9.69,15.00,73.26
17.727821826934814,1.79,9.69,15.00,73.26
17.74482226371765,1.79,9.69,15.00,73.26
17.75897479057312,1.79,9.69,15.00,73.26
17.775541305541992,2.54,10.50,15.00,73.26
17.79054617881775,2.54,10.50,15.00,73.26
17.806545972824097,2.54,10.50,15.00,73.26
17.821545839309692,2.54,10.50,15.00,69.67
17.836547136306763,2.54,10.50,15.00,69.67
17.852547883987427,2.54,10.50,15.00,69.67
17.86854577064514,2.54,10.50,15.00,69.67
17.885549783706665,2.54,10.50,15.00,69.67
17.900546550750732,2.54,10.50,15.00,69.67
17.915545225143433,2.54,10.50,15.00,69.67
17.931546688079834,2.54,10.50,15.00,69.67
17.94654607772827,2.54,10.50,15.00,69.67
17.962547302246094,2.54,10.50,15.00,70.12
17.976547241210938,2.54,10.50,15.00,70.12
17.993547916412354,2.54,10.50,15.00,70.12
18.008546113967896,2.54,10.50,15.00,70.12
18.024547338485718,2.54,10.50,15.00,70.12
18.039546966552734,2.54,10.50,15.00,70.12
18.0545494556427,2.54,10.50,15.00,70.12
18.069548845291138,2.54,10.50,15.00,70.12
18.085548877716064,2.54,10.50,15.00,70.12
18.101547479629517,2.54,10.50,15.00,70.57
18.115546464920044,2.54,10.50,15.00,70.57
18.13154888153076,2.54,10.50,15.00,70.57
18.147549152374268,2.54,10.50,15.00,70.57
18.161548614501953,2.54,10.50,15.00,70.57
